,date,department,fuel_price_usd_per_l,is_holiday,store,temperature_c,type,unemployment,weekly_sales
0,2010-02-05,1,0.6794508388787476,False,1,5.727777777777779,A,8.106,24924.5
1,2010-03-05,1,0.693451964252221,False,1,8.055555555555555,A,8.106,21827.9
2,2010-04-02,1,0.718284148876872,False,1,16.81666666666667,A,7.808,57258.43
3,2010-05-07,1,0.7489281213923986,False,1,22.52777777777778,A,7.808,17413.94
4,2010-06-04,1,0.7145857384008601,False,1,27.049999999999997,A,7.808,17558.09
5,2010-07-02,1,0.7050755400339724,False,1,27.17222222222222,A,7.787000000000001,16333.14
6,2010-08-06,1,0.693980308605937,False,1,30.64444444444444,A,7.787000000000001,17508.41
7,2010-09-03,1,0.6807716997630375,False,1,27.338888888888885,A,7.787000000000001,16241.78
8,2010-10-01,1,0.6876401763613453,False,1,22.16111111111111,A,7.837999999999999,20094.19
9,2010-11-05,1,0.7103589835711321,False,1,14.855555555555558,A,7.837999999999999,34238.88
10,2010-12-03,1,0.7153782549314341,False,1,9.594444444444447,A,7.837999999999999,22517.56
11,2011-01-07,1,0.7861763983293752,False,1,9.038888888888891,A,7.742000000000001,15984.24
